message_type,email_subject,email_body,sms_body,is_active
booking_approved_agent,"Congratulations! New Booking Approved","<h2>Booking Approved!</h2><p>Dear {agent_name},</p><p>Congratulations! A new booking has been approved:</p><ul><li><strong>Client:</strong> {client_name}</li><li><strong>Salesman:</strong> {salesman_name}</li><li><strong>Date:</strong> {appointment_date}</li><li><strong>Time:</strong> {appointment_time}</li></ul><p>Great work on securing this appointment!</p><p>Best regards,<br>{company_name}</p>","Congrats {agent_name}! Booking approved for {client_name} with {salesman_name} on {appointment_date} at {appointment_time}. - {company_name}",true
booking_approved_client,"Appointment Confirmed - {company_name}","<h2>Appointment Confirmed!</h2><p>Dear {client_name},</p><p>Your appointment with {salesman_name} has been confirmed for:</p><ul><li><strong>Date:</strong> {appointment_date}</li><li><strong>Time:</strong> {appointment_time}</li></ul><p>If you need to reschedule, please reply to this email or contact us directly.</p><p>We look forward to meeting with you!</p><p>Best regards,<br>{company_name}</p>","Hi {client_name}! Your appointment with {salesman_name} is confirmed for {appointment_date} at {appointment_time}. Reply to reschedule. - {company_name}",true
booking_approved_salesman,"New Appointment Scheduled","<h2>New Appointment!</h2><p>Dear {salesman_name},</p><p>You have a new appointment scheduled:</p><ul><li><strong>Client:</strong> {client_name}</li><li><strong>Date:</strong> {appointment_date}</li><li><strong>Time:</strong> {appointment_time}</li></ul><p>Visit the RAU calendar for more details and preparation information.</p><p>Best regards,<br>{company_name}</p>","Hi {salesman_name}! You have an appointment with {client_name} on {appointment_date} at {appointment_time}. Check RAU calendar for details. - {company_name}",true
booking_reminder_client,"Reminder: Your Appointment Tomorrow","<h2>Appointment Reminder</h2><p>Dear {client_name},</p><p>This is a friendly reminder that you have an appointment with {salesman_name} tomorrow:</p><ul><li><strong>Date:</strong> {appointment_date}</li><li><strong>Time:</strong> {appointment_time}</li></ul><p>Please arrive on time. If you need to reschedule, reply to this email or contact us as soon as possible.</p><p>Best regards,<br>{company_name}</p>","Reminder: You have an appointment with {salesman_name} tomorrow ({appointment_date}) at {appointment_time}. Reply to reschedule. - {company_name}",true
booking_reminder_salesman,"Reminder: Appointment Tomorrow","<h2>Appointment Reminder</h2><p>Dear {salesman_name},</p><p>Reminder: You have an appointment tomorrow with:</p><ul><li><strong>Client:</strong> {client_name}</li><li><strong>Date:</strong> {appointment_date}</li><li><strong>Time:</strong> {appointment_time}</li></ul><p>Please review the client details in the RAU calendar and prepare accordingly.</p><p>Best regards,<br>{company_name}</p>","Reminder {salesman_name}: Appointment with {client_name} tomorrow ({appointment_date}) at {appointment_time}. Check RAU calendar. - {company_name}",true
ad_day_1,"Thank You for Your Visit!","<h2>Thank You for Your Visit!</h2><p>Dear {client_name},</p><p>Thank you for meeting with {salesman_name} yesterday. We hope you found our services valuable and informative.</p><p>If you have any questions or would like to schedule a follow-up appointment, please reply to this email or contact us directly.</p><p>Best regards,<br>{company_name}</p>","Thank you for meeting with {salesman_name} yesterday! We hope you found our services valuable. Reply if you have questions. - {company_name}",true
ad_day_7,"Following Up on Your Recent Visit","<h2>How Are Things Going?</h2><p>Dear {client_name},</p><p>It's been a week since your appointment with {salesman_name}. We wanted to follow up and see if you have any questions or if there's anything we can help you with.</p><p>We're here to support you every step of the way. Feel free to reply to this email anytime.</p><p>Best regards,<br>{company_name}</p>","Hi {client_name}! It's been a week since your visit. Do you have any questions? We're here to help! - {company_name}",true
ad_day_14,"Checking In - 2 Weeks Later","<h2>We'd Love to Hear From You</h2><p>Dear {client_name},</p><p>Two weeks have passed since your appointment with {salesman_name}. We hope everything is going well!</p><p>If you'd like to discuss next steps or have any questions, we're just an email away. We'd be happy to schedule another consultation.</p><p>Best regards,<br>{company_name}</p>","Hi {client_name}! It's been 2 weeks since your appointment. Need any help or want to discuss next steps? Let us know! - {company_name}",true
ad_day_21,"3 Weeks Later - Still Here to Help","<h2>Still Thinking It Over?</h2><p>Dear {client_name},</p><p>Three weeks ago, you met with {salesman_name}. We understand that important decisions take time.</p><p>If you're still considering our services or have additional questions, we'd be happy to assist. Reply to this email to reconnect with us.</p><p>Best regards,<br>{company_name}</p>","Hi {client_name}! Still thinking things over? We're happy to answer any questions or schedule a follow-up. - {company_name}",true
dna_day_1,"We Missed You - Let's Reschedule","<h2>We Missed You!</h2><p>Dear {client_name},</p><p>We noticed you weren't able to make your appointment with {salesman_name} yesterday. We understand that schedules can change and things come up.</p><p>We'd love to reschedule at your convenience. Simply reply to this email with your preferred date and time.</p><p>Best regards,<br>{company_name}</p>","We missed you at your appointment with {salesman_name} yesterday. No worries! Reply to reschedule at your convenience. - {company_name}",true
dna_day_7,"Still Interested? Let's Connect","<h2>Let's Reconnect</h2><p>Dear {client_name},</p><p>It's been a week since your scheduled appointment. We wanted to reach out and see if you're still interested in meeting with us.</p><p>If you'd like to reschedule, just reply to this email. We're flexible and happy to work around your schedule.</p><p>Best regards,<br>{company_name}</p>","Hi {client_name}! Still interested in meeting? Reply to this message and we'll find a time that works for you. - {company_name}",true
dna_day_30,"We Haven't Forgotten About You","<h2>We're Still Here</h2><p>Dear {client_name},</p><p>It's been about a month since we last connected. We wanted to reach out one more time to see if you'd like to reschedule your appointment.</p><p>If now isn't the right time, we completely understand. Just reply to this email if you'd like to reconnect in the future.</p><p>Best regards,<br>{company_name}</p>","Hi {client_name}! It's been a month. Still interested in scheduling? Reply anytime - we're here when you're ready. - {company_name}",true
dna_day_60,"Checking In After 2 Months","<h2>Long Time No See</h2><p>Dear {client_name},</p><p>Two months have passed, and we wanted to check in. Your needs may have changed, or perhaps now is a better time to connect.</p><p>If you'd like to explore our services, we'd be happy to schedule a convenient time to meet. Just reply to this email.</p><p>Best regards,<br>{company_name}</p>","Hi {client_name}! It's been 2 months. Things change - if you'd like to reconnect, just reply! - {company_name}",true
dna_day_90,"Final Check-In - We're Here When You Need Us","<h2>One Last Hello</h2><p>Dear {client_name},</p><p>It's been three months since we last connected. This will be our final check-in, but we want you to know that our door is always open.</p><p>If you ever need our services in the future, don't hesitate to reach out. We'd be happy to help.</p><p>Wishing you all the best,<br>{company_name}</p>","Hi {client_name}! It's been 3 months. This is our last check-in, but we're always here if you need us. Best wishes! - {company_name}",true
